"Boost_Clock","Core_Speed","Manufacturer","Memory","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1330 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","16384 MB ","256 Bit ","2000 MHz","81 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1280 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1226 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","59 GPixel/s","14m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","9 GPixel/s","28m"
"1226 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","59 GPixel/s","14m"
"1256 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","60 GPixel/s","14m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","17 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","9 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","17 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","4096 MB ","128 Bit ","667 MHz","6 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","9 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","800 MHz","6 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","9 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","1125 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","1024 MB ","128 Bit ","1125 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","1024 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","1024 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"1216 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","39 GPixel/s","14m"
"800 MHz ","750 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"1260 MHz ","1121 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","40 GPixel/s","14m"
"1260 MHz ","1143 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","40 GPixel/s","14m"
"1270 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1242 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","40 GPixel/s","14m"
"1210 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","39 GPixel/s","14m"
"1218 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","39 GPixel/s","14m"
"1242 MHz ","926 MHz","ATI","8192 MB ","256 Bit ","1650 MHz","40 GPixel/s","14m"
"1256 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","40 GPixel/s","14m"
"1256 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","40 GPixel/s","14m"
"1206 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","39 GPixel/s","14m"
"1206 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","39 GPixel/s","14m"
"1200 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1220 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1270 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","41 GPixel/s","14m"
"1220 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1220 MHz ","1090 MHz","ATI","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1230 MHz ","926 MHz","ATI","4096 MB ","256 Bit ","1650 MHz","39 GPixel/s","14m"
"1220 MHz ","1090 MHz","ATI","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1210 MHz ","1090 MHz","ATI","2048 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1210 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1250 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1212 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1220 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1236 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1212 MHz ","1090 MHz","ATI","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"800 MHz ","750 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"810 MHz ","760 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"900 MHz ","780 MHz","AMD","2048 MB ","128 Bit ","900 MHz","7 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","4096 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"820 MHz ","770 MHz","AMD","4096 MB ","128 Bit ","900 MHz","7 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","1024 MB ","128 Bit ","800 MHz","6 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1300 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1216 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1288 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1216 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1295 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1196 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1196 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","19 GPixel/s","14m"
"1320 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1320 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1287 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1313 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1180 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1313 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","21 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","4096 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1275 MHz ","1175 MHz","AMD","2048 MB ","128 Bit ","1750 MHz","20 GPixel/s","14m"
"1000 MHz ","950 MHz","AMD","6144 MB ","384 Bit ","1500 MHz","64 GPixel/s","28m"
"1000 MHz ","950 MHz","AMD","6144 MB ","384 Bit ","1500 MHz","64 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","6144 MB ","384 Bit ","1500 MHz","37 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","6144 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","34 GPixel/s","28m"
"1150 MHz ","1070 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","37 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","34 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","6144 MB ","384 Bit ","1650 MHz","70 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","3072 MB ","384 Bit ","1650 MHz","35 GPixel/s","28m"
"1000 MHz ","900 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","32 GPixel/s","28m"
"930 MHz ","880 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"925 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"840 MHz ","830 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","27 GPixel/s","28m"
"960 MHz ","880 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","31 GPixel/s","28m"
"925 MHz ","850 MHz","AMD","6144 MB ","384 Bit ","1250 MHz","59 GPixel/s","28m"
"925 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"975 MHz ","925 MHz","AMD","2048 MB ","256 Bit ","1500 MHz","31 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"1019 MHz ","915 MHz","Nvidia","8192 MB ","512 Bit ","1502 MHz","130 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1019 MHz ","915 MHz","Nvidia","4096 MB ","256 Bit ","1500 MHz","65 GPixel/s","28m"
"1019 MHz ","915 MHz","Nvidia","4096 MB ","512 Bit ","1502 MHz","65 GPixel/s","28m"
"1317 MHz ","1216 MHz","Nvidia","4096 MB ","256 Bit ","1762 MHz","84 GPixel/s","28m"
"1175 MHz ","1110 MHz","Nvidia","2048 MB ","256 Bit ","1652 MHz","38 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","8192 MB ","256 Bit ","1502 MHz","135 GPixel/s","28m"
"1045 MHz ","993 MHz","Nvidia","4096 MB ","512 Bit ","1502 MHz","67 GPixel/s","28m"
"1150 MHz ","1084 MHz","Nvidia","2048 MB ","256 Bit ","1575 MHz","37 GPixel/s","28m"
"1124 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1150 MHz ","1084 MHz","Nvidia","2048 MB ","256 Bit ","1575 MHz","37 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1822 MHz ","1683 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","117 GPixel/s","16m"
"1759 MHz ","1645 MHz","Nvidia","11264 MB ","176 Bit ","1402 MHz","155 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1911 MHz ","1771 MHz","Nvidia","8192 MB ","256 Bit ","1350 MHz","122 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","176 Bit ","1376 MHz","152 GPixel/s","16m"
"1683 MHz ","1569 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","148 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1620 MHz ","1506 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","143 GPixel/s","16m"
"1683 MHz ","1569 MHz","Nvidia","11264 MB ","88 Bit ","1390 MHz","148 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1620 MHz ","1506 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","143 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1645 MHz ","1531 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","145 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1721 MHz ","1607 MHz","Nvidia","11264 MB ","352 Bit ","1426 MHz","151 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1683 MHz ","1569 MHz","Nvidia","11264 MB ","88 Bit ","1426 MHz","148 GPixel/s","16m"
"1683 MHz ","1569 MHz","Nvidia","11264 MB ","352 Bit ","1426 MHz","148 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1645 MHz ","1531 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","145 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1721 MHz ","1607 MHz","Nvidia","11264 MB ","88 Bit ","1426 MHz","151 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","176 Bit ","1376 MHz","139 GPixel/s","16m"
"1620 MHz ","1506 MHz","Nvidia","11264 MB ","176 Bit ","1376 MHz","143 GPixel/s","16m"
"1721 MHz ","1607 MHz","Nvidia","11264 MB ","88 Bit ","1404 MHz","151 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1632 MHz ","1518 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","144 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1670 MHz ","1556 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","147 GPixel/s","16m"
"1670 MHz ","1556 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","147 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1683 MHz ","1569 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","148 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1708 MHz ","1594 MHz","Nvidia","11264 MB ","352 Bit ","1388 MHz","150 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1847 MHz ","1708 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","118 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","16384 MB ","256 Bit ","1251 MHz","222 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1250 MHz","111 GPixel/s","16m"
"1847 MHz ","1708 MHz","Nvidia","8192 MB ","256 Bit ","1263 MHz","118 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1784 MHz ","1645 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","114 GPixel/s","16m"
"1797 MHz ","1657 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","115 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","88 Bit ","1376 MHz","139 GPixel/s","16m"
"1847 MHz ","1708 MHz","Nvidia","8192 MB ","256 Bit ","1263 MHz","118 GPixel/s","16m"
"1771 MHz ","1632 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","113 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1250 MHz","111 GPixel/s","16m"
"1835 MHz ","1695 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","117 GPixel/s","16m"
"1860 MHz ","1721 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","119 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1847 MHz ","1708 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","118 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1771 MHz ","1632 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","113 GPixel/s","16m"
"1936 MHz ","1784 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","124 GPixel/s","16m"
"1847 MHz ","1708 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","118 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2125 MHz","108 GPixel/s","16m"
"1797 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","115 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","128 Bit ","2002 MHz","108 GPixel/s","16m"
"1797 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","2027 MHz","115 GPixel/s","16m"
"1873 MHz ","1670 MHz","Nvidia","8192 MB ","256 Bit ","2125 MHz","120 GPixel/s","16m"
"1797 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","115 GPixel/s","16m"
"1835 MHz ","1632 MHz","Nvidia","8192 MB ","256 Bit ","2052 MHz","117 GPixel/s","16m"
"1733 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1860 MHz ","1657 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","119 GPixel/s","16m"
"1797 MHz ","1607 MHz","Nvidia","8192 MB ","256 Bit ","2027 MHz","115 GPixel/s","16m"
"1835 MHz ","1632 MHz","Nvidia","8192 MB ","256 Bit ","2127 MHz","117 GPixel/s","16m"
"1746 MHz ","1556 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","112 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1759 MHz ","1569 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","113 GPixel/s","16m"
"1898 MHz ","1695 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","121 GPixel/s","16m"
"1746 MHz ","1556 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","112 GPixel/s","16m"
"1771 MHz ","1582 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","113 GPixel/s","16m"
"1721 MHz ","1531 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","110 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1860 MHz ","1657 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","119 GPixel/s","16m"
"1784 MHz ","1594 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","114 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1708 MHz ","1518 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","109 GPixel/s","16m"
"1873 MHz ","1670 MHz","Nvidia","8192 MB ","256 Bit ","2127 MHz","120 GPixel/s","16m"
"1784 MHz ","1594 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","114 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1860 MHz ","1657 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","119 GPixel/s","16m"
"1860 MHz ","1657 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","119 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1822 MHz ","1620 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","117 GPixel/s","16m"
"1721 MHz ","1531 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","110 GPixel/s","16m"
"1721 MHz ","1531 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","110 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","128 Bit ","2002 MHz","108 GPixel/s","16m"
"1683 MHz ","1506 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","108 GPixel/s","16m"
"1771 MHz ","1582 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","113 GPixel/s","16m"
"1847 MHz ","1620 MHz","Nvidia","6144 MB ","192 Bit ","2002 MHz","89 GPixel/s","16m"
"1708 MHz ","1506 MHz","Nvidia","6144 MB ","192 Bit ","2002 MHz","82 GPixel/s","16m"
"1709 MHz ","1506 MHz","Nvidia","6144 MB ","192 Bit ","2002 MHz","82 GPixel/s","16m"
